product_category_name,Số đơn,Tổng doanh thu,TB doanh thu,Độ lệch chuẩn,Min,Max
"automotivo,malas_acessorios",1,116.5,116.5,,116.5,116.5
"ferramentas_jardim,moveis_sala",1,113.9,113.9,,113.9,113.9
"eletronicos,eletroportateis",1,110.79,110.79,,110.79,110.79
"dvds_blu_ray,utilidades_domesticas",1,109.88,109.88,,109.88,109.88
"brinquedos,telefonia",1,107.89,107.89,,107.89,107.89
"livros_interesse_geral,utilidades_domesticas",1,106.9,106.9,,106.9,106.9
"informatica_acessorios,tablets_impressao_imagem",1,106.9,106.9,,106.9,106.9
"ferramentas_jardim,pet_shop",1,102.8,102.8,,102.8,102.8
"cama_mesa_banho,informatica_acessorios",1,99.89,99.89,,99.89,99.89
"consoles_games,informatica_acessorios",1,98.99,98.99,,98.99,98.99
"construcao_ferramentas_seguranca,informatica_acessorios",1,96.79,96.79,,96.79,96.79
"livros_interesse_geral,market_place",2,95.76,47.88,0.0,47.88,47.88
"bebes,livros_interesse_geral",1,95.4,95.4,,95.4,95.4
"casa_conforto_2,instrumentos_musicais",1,94.8,94.8,,94.8,94.8
"beleza_saude,livros_tecnicos",1,92.89,92.89,,92.89,92.89
"brinquedos,relogios_presentes",1,89.89,89.89,,89.89,89.89
"informatica_acessorios,relogios_presentes",1,87.0,87.0,,87.0,87.0
"construcao_ferramentas_jardim,nan,pet_shop",1,86.8,86.8,,86.8,86.8
"cama_mesa_banho,construcao_ferramentas_seguranca",1,84.0,84.0,,84.0,84.0
"livros_tecnicos,moveis_decoracao",1,83.9,83.9,,83.9,83.9
"nan,perfumaria",2,81.5,40.75,23.97,23.8,57.7
"automotivo,consoles_games",1,80.5,80.5,,80.5,80.5
"dvds_blu_ray,informatica_acessorios",1,79.89,79.89,,79.89,79.89
"casa_construcao,cool_stuff,informatica_acessorios",1,79.82,79.82,,79.82,79.82
"construcao_ferramentas_jardim,livros_tecnicos",1,75.99,75.99,,75.99,75.99
"eletronicos,esporte_lazer",1,72.79,72.79,,72.79,72.79
"cool_stuff,livros_interesse_geral",1,69.8,69.8,,69.8,69.8
"instrumentos_musicais,relogios_presentes",1,65.9,65.9,,65.9,65.9
"construcao_ferramentas_construcao,relogios_presentes",1,65.9,65.9,,65.9,65.9
"automotivo,beleza_saude",1,61.5,61.5,,61.5,61.5
"consoles_games,esporte_lazer",1,60.5,60.5,,60.5,60.5
"consoles_games,pet_shop",1,57.89,57.89,,57.89,57.89
"relogios_presentes,utilidades_domesticas",1,54.8,54.8,,54.8,54.8
"livros_tecnicos,musica",1,49.94,49.94,,49.94,49.94
"ferramentas_jardim,telefonia",1,49.76,49.76,,49.76,49.76
"automotivo,bebidas",1,49.6,49.6,,49.6,49.6
"cama_mesa_banho,pet_shop",1,48.9,48.9,,48.9,48.9
"bebes,cama_mesa_banho,nan",1,47.8,47.8,,47.8,47.8
"construcao_ferramentas_jardim,ferramentas_jardim",1,44.15,44.15,,44.15,44.15
"construcao_ferramentas_jardim,flores",1,43.2,43.2,,43.2,43.2
"construcao_ferramentas_construcao,utilidades_domesticas",1,42.89,42.89,,42.89,42.89
"automotivo,casa_conforto_2",1,42.89,42.89,,42.89,42.89
"artes_e_artesanato,brinquedos",1,41.86,41.86,,41.86,41.86
"artigos_de_natal,automotivo",1,41.4,41.4,,41.4,41.4
"cama_mesa_banho,moveis_cozinha_area_de_servico_jantar_e_jardim",1,41.1,41.1,,41.1,41.1
"automotivo,eletronicos",1,38.5,38.5,,38.5,38.5
"artes,papelaria",1,37.9,37.9,,37.9,37.9
"bebes,la_cuisine",1,36.99,36.99,,36.99,36.99
"telefonia,telefonia_fixa",1,34.98,34.98,,34.98,34.98
"livros_importados,nan",1,32.49,32.49,,32.49,32.49
"artes_e_artesanato,ferramentas_jardim",1,22.7,22.7,,22.7,22.7
"construcao_ferramentas_construcao,informatica_acessorios",1,20.75,20.75,,20.75,20.75
